Card_Name,Bank_Name,Annual_Fee,Joining_Fee,Reward_Rate,Lounge_Access,Forex_Markup,Minimum_Income_LPA,Reward_Value_Per_Point_INR,Spend_Based_Fee_Waiver,Milestone_Rewards,Third_Party_Tieups,Reward_Description,Bank,Reward_Description_Clean,Annual_Fee_INR,Joining_Fee_INR,Min_Income_LPA,Spend_Based_Fee_Waiver_INR,Reward_Points,Reward_Spend_Required,Reward_Rate_Per_Rupee,Reward_Cashback_Percent,Milestone_Reward_Value,Lounge_Domestic,Lounge_International,International_Usage,Reward_Type,is_amazon_corp_partner,is_bookmyshow_corp_partner,is_cleartrip_corp_partner,is_flipkart_corp_partner,is_makemytrip_corp_partner,is_reliance_corp_partner,is_swiggy_corp_partner,is_tata_corp_partner,is_zomato_corp_partner,Merchant_Partner_Count,Milestone_Reward,ERV,Annual_Reward_Value_Estimate,Experiential_Benefits,Net_Fee,Net_Annual_Value,Effective_Reward_Rate_Index,Net_Value_Index,Travel_Benefit_Index,Lifestyle_Benefit_Index,Fee_to_Value_Ratio,Annual_Fee_INR_scaled,Joining_Fee_INR_scaled,Min_Income_LPA_scaled,Reward_Rate_Per_Rupee_scaled,Reward_Value_Per_Point_INR_scaled,ERV_scaled,Annual_Reward_Value_Estimate_scaled,Net_Annual_Value_scaled,Travel_Benefit_Index_scaled,Lifestyle_Benefit_Index_scaled,Effective_Reward_Rate_Index_scaled,Net_Value_Index_scaled,Fee_to_Value_Ratio_scaled,Forex_Markup_scaled,Card_Segment_Cluster,Card_Segment_Hierarchy,Card_Segment
SBI BPCL Octane Credit Card,SBI,1499,1499,3.0,0.0,3.5,2.5,0.25,150000,0,BPCL,"25X rewards on BPCL fuel. 10X on Ola, food delivery. Best card for frequent fuel users. Fuel surcharge waiver.",SBI,"25X rewards on BPCL fuel. 10X on Ola, food delivery. Best card for frequent fuel users. Fuel surcharge waiver.",1499.0,1499.0,2.5,150000.0,,,3.0,300.0,0.0,0.0,0.0,0,general,0,0,0,0,0,0,0,0,0,0,0.0,0.75,300000.0,0.0,0.0,300000.0,7500.0,0.75,0.0,0,0.004996666666666667,-0.21008348256432666,-0.2033631391131128,-0.47748282266141595,0.6635708694920451,-0.5926273045928272,0.4546092253771312,0.41475123589222795,-0.3013704350014825,-0.4674379541314951,-0.49794729611604754,0.45460922537713117,-0.30137043500148253,-0.09979985655730254,0.5998851097102851,0,1,Entry_Level
Axis Bank Magnus Credit Card,Axis,12500,12500,12.0,2000.0,2.0,18.0,0.2,1500000,25000,MakeMyTrip Marriott Club ITC,"12 Edge Reward points per Rs.200. Unlimited airport lounge access. 10,000 bonus miles on MakeMyTrip. Premium travel card.",Axis,"12 Edge Reward points per Rs.200. Unlimited airport lounge access. 10,000 bonus miles on MakeMyTrip. Premium travel card.",12500.0,12500.0,18.0,1500000.0,,,12.0,1200.0,25000.0,2000.0,0.0,1,travel,0,0,0,0,1,0,0,0,0,1,25000.0,2.4000000000000004,1044000.0000000001,2801200.0,12500.0,3857700.0,24000.000000000004,9.64425,2003.0,0,0.0032402727013505456,1.1224081712564558,1.1278827633516921,0.9590544611210743,4.072645823902307,-0.7648437862693753,2.463043447383539,2.5772086357490664,2.695936021204063,2.1546860583005976,-0.49794729611604754,2.4630434473835385,2.6959360212040626,-0.09981174907631367,-0.9171797131934107,1,0,Premium
Axis Bank Ace Credit Card,Axis,499,499,2.0,4.0,3.5,2.5,1.0,200000,0,Google Pay Swiggy Zomato Ola,"5% cashback via Google Pay. 4% on Swiggy, Zomato, Ola. 2% on all other spends. Best value entry-level card.",Axis,"5% cashback via Google Pay. 4% on Swiggy, Zomato, Ola. 2% on all other spends. Best value entry-level card.",499.0,499.0,2.5,200000.0,5.0,100.0,0.05,5.0,2.0,4.0,0.0,0,dining,0,0,0,0,0,0,1,0,1,2,2.0,0.05,21200.0,8000.0,0.0,29202.0,500.0,0.073005,4.0,2,0.017087870693788098,-0.33120807613043723,-0.3243744928504826,-0.47748282266141595,-0.4538481433424296,1.9906199205553938,-0.3974537778983144,-0.39558898330143655,-0.5295135031993489,-0.462201560696783,1.6633558614940314,-0.3974537778983143,-0.529513503199349,-0.09971798718368853,0.5998851097102851,3,3,Mid_Tier
Axis Bank Flipkart Credit Card,Axis,500,500,5.0,4.0,3.5,2.5,1.0,200000,0,Flipkart Myntra Cleartrip,"5% cashback on Flipkart, Myntra, 2GUD. 4% on preferred merchants. 1.5% on all other. 4 airport lounge visits/year.",Axis,"5% cashback on Flipkart, Myntra, 2GUD. 4% on preferred merchants. 1.5% on all other. 4 airport lounge visits/year.",500.0,500.0,2.5,200000.0,5.0,100.0,0.05,5.0,0.0,4.0,0.0,0,ecommerce,0,0,1,1,0,0,0,0,0,2,0.0,0.05,20750.0,8000.0,0.0,28750.0,500.0,0.071875,5.0,1,0.017391304347826087,-0.3310869515368711,-0.3242534814967452,-0.47748282266141595,-0.4538481433424296,1.9906199205553938,-0.3974537778983144,-0.39689692124489834,-0.529894306110838,-0.46089246233810494,0.5827042826889919,-0.3974537778983143,-0.5298943061108381,-0.09971593263865448,0.5998851097102851,0,1,Entry_Level
Axis Bank Vistara Signature Credit Card,Axis,3000,3000,6.0,8.0,3.5,8.0,0.5,300000,3000,Vistara Air India,6 Club Vistara points per Rs.200. 8 airport lounge visits. Complimentary Vistara flight ticket on activation. Travel-focused card.,Axis,6 Club Vistara points per Rs.200. 8 airport lounge visits. Complimentary Vistara flight ticket on activation. Travel-focused card.,3000.0,3000.0,8.0,300000.0,,,6.0,600.0,3000.0,8.0,0.0,0,travel,0,0,0,0,0,0,0,0,0,0,3000.0,3.0,1305000.0,11200.0,0.0,1319200.0,30000.0,3.298,8.0,0,0.0022741055184960584,-0.028275467621594698,-0.021725097153320737,0.03225621351946765,1.799929187628799,0.2684551037899132,3.1933831644767774,3.335812642956908,0.5572895813474766,-0.45696516726207087,-0.49794729611604754,3.1933831644767774,0.5572895813474766,-0.09981829098081625,0.5998851097102851,0,1,Entry_Level
Axis Bank MY Zone Credit Card,Axis,500,500,1.0,0.0,3.5,1.5,0.2,50000,0,Swiggy Zomato BookMyShow,"20% cashback on Swiggy, Zomato, BookMyShow. 1 EDGE point per Rs.125 on other spends. Best lifestyle entry card.",Axis,"20% cashback on Swiggy, Zomato, BookMyShow. 1 EDGE point per Rs.125 on other spends. Best lifestyle entry card.",500.0,500.0,1.5,50000.0,20.0,100.0,0.2,20.0,1.0,0.0,0.0,0,dining,0,1,0,0,0,0,1,0,1,3,1.0,0.04000000000000001,16960.000000000004,3600.0,0.0,20561.000000000004,400.00000000000006,0.05140250000000001,0.0,3,0.024317883371431346,-0.3310869515368711,-0.3242534814967452,-0.5701626474215766,-0.39703022743559196,-0.7648437862693753,-0.409626106516535,-0.40791266525760994,-0.5367934101864675,-0.4674379541314951,2.7440074402990704,-0.40962610651653497,-0.5367934101864676,-0.09966903286881532,0.5998851097102851,3,3,Mid_Tier
Amazon Pay ICICI Credit Card,ICICI,0,0,5.0,0.0,3.5,2.0,1.0,0,0,Amazon Prime,5% cashback on Amazon for Prime members (3% for non-Prime). 2% on Amazon Pay partner merchants. 1% on all other spends. Zero annual fee.,ICICI,5% cashback on Amazon for Prime members (3% for non-Prime). 2% on Amazon Pay partner merchants. 1% on all other spends. Zero annual fee.,0.0,0.0,2.0,0.0,5.0,100.0,0.05,5.0,1.0,0.0,0.0,0,ecommerce,1,0,0,0,0,0,0,0,0,1,1.0,0.05,20750.0,1200.0,0.0,21951.0,500.0,0.0548775,0.0,1,0.0,-0.39164924831992637,-0.3847591583654301,-0.5238227350414963,-0.4538481433424296,1.9906199205553938,-0.3974537778983144,-0.39689692124489834,-0.5356223569852067,-0.4674379541314951,0.5827042826889919,-0.3974537778983143,-0.5356223569852068,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
ICICI Sapphiro Credit Card,ICICI,3500,3500,4.0,12.0,1.5,10.0,0.25,600000,5000,Marriott ITC Taj Amazon,4 reward points per Rs.100. 12 airport lounge visits. Complimentary golf lessons. 1.5% forex markup. Premium lifestyle card.,ICICI,4 reward points per Rs.100. 12 airport lounge visits. Complimentary golf lessons. 1.5% forex markup. Premium lifestyle card.,3500.0,3500.0,10.0,600000.0,4.0,100.0,0.04,400.0,5000.0,12.0,0.0,1,general,1,0,0,0,0,0,0,0,0,1,5000.0,0.01,4000.0,18000.0,3500.0,23500.0,100.0,0.05875,14.0,1,0.14893617021276595,0.032286829161460584,0.03878057971536416,0.21761586303978897,-0.4576360044028855,-0.5926273045928272,-0.4461430923711969,-0.4455812780293097,-0.5343173487774707,-0.4491105771100027,0.5827042826889919,-0.4461430923711969,-0.5343173487774707,-0.09882524418890655,-1.4228679874946426,0,1,Entry_Level
ICICI Coral Credit Card,ICICI,500,500,2.0,2.0,3.5,2.5,0.25,125000,0,BookMyShow Dining,2 reward points per Rs.100. 1 complimentary movie ticket/month via BookMyShow. 2 airport lounge visits/quarter. Dining discounts.,ICICI,2 reward points per Rs.100. 1 complimentary movie ticket/month via BookMyShow. 2 airport lounge visits/quarter. Dining discounts.,500.0,500.0,2.5,125000.0,2.0,100.0,0.02,200.0,2.0,2.0,0.0,0,dining,0,1,0,0,0,0,0,0,0,1,2.0,0.005,2120.0,4000.0,0.0,6122.0,50.0,0.015305,2.0,1,0.08167265599477296,-0.3310869515368711,-0.3242534814967452,-0.47748282266141595,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.45104555210421676,-0.5489580412461836,-0.46481975741413906,0.5827042826889919,-0.4522292566803072,-0.5489580412461837,-0.09928068450434185,0.5998851097102851,0,1,Entry_Level
ICICI Rubyx Credit Card,ICICI,2000,2000,2.0,8.0,3.5,6.0,0.25,300000,2000,EazyDiner BookMyShow Lifestyle,2 reward points per Rs.100. 8 airport lounge visits. EazyDiner Prime membership. Movie offers. Golf privileges.,ICICI,2 reward points per Rs.100. 8 airport lounge visits. EazyDiner Prime membership. Movie offers. Golf privileges.,2000.0,2000.0,6.0,300000.0,2.0,100.0,0.02,200.0,2000.0,8.0,0.0,0,dining,0,1,0,0,0,0,0,0,1,2,2000.0,0.005,2120.0,13600.0,0.0,17720.0,50.0,0.0443,8.0,2,0.11286681715575621,-0.14940006118770527,-0.14273645089069054,-0.15310343600085366,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.45104555210421676,-0.5391869081323539,-0.45696516726207087,1.6633558614940314,-0.4522292566803072,-0.539186908132354,-0.09906946927474718,0.5998851097102851,3,3,Mid_Tier
ICICI HPCL Super Saver Credit Card,ICICI,500,500,4.0,0.0,3.5,2.0,0.25,150000,0,HPCL,"4% cashback on fuel at HPCL stations. 2% cashback on grocery, utilities. 1% on all else. Fuel surcharge waiver up to Rs.100/month.",ICICI,"4% cashback on fuel at HPCL stations. 2% cashback on grocery, utilities. 1% on all else. Fuel surcharge waiver up to Rs.100/month.",500.0,500.0,2.0,150000.0,4.0,100.0,0.04,4.0,0.0,0.0,0.0,0,cashback,0,0,0,0,0,0,0,0,0,0,0.0,0.01,4000.0,0.0,0.0,4000.0,100.0,0.01,0.0,0,0.125,-0.3310869515368711,-0.3242534814967452,-0.5238227350414963,-0.4576360044028855,-0.5926273045928272,-0.4461430923711969,-0.4455812780293097,-0.5507457929678207,-0.4674379541314951,-0.49794729611604754,-0.4461430923711969,-0.5507457929678208,-0.09898731566314865,0.5998851097102851,0,1,Entry_Level
American Express Platinum Card,Amex,60000,60000,5.0,2004.0,0.0,50.0,0.5,0,50000,Taj Oberoi Marriott Hilton Delta,Unlimited Centurion and Priority Pass lounge access. 1 MR point per Rs.50. No forex markup. Concierge. Hotel status upgrades.,Amex,Unlimited Centurion and Priority Pass lounge access. 1 MR point per Rs.50. No forex markup. Concierge. Hotel status upgrades.,60000.0,60000.0,50.0,0.0,,,5.0,500.0,50000.0,2000.0,4.0,1,travel,0,0,0,0,0,0,0,0,0,0,50000.0,2.5,1087500.0,2809200.0,60000.0,3886700.0,25000.0,9.71675,2010.0,0,0.015437260400854195,6.875826365646708,6.875922065876757,3.924808853446215,1.4211430815832145,0.2684551037899132,2.5847667335657447,2.7036426369503728,2.7203680664102246,2.163849746811344,-0.49794729611604754,2.5847667335657447,2.7203680664102246,-0.09972916344293122,-2.9399328103983384,2,2,Super_Premium
American Express SmartEarn Credit Card,Amex,495,495,2.0,0.0,3.5,4.5,0.25,40000,500,Amazon Flipkart Swiggy Uber,"10X MR points on Flipkart. 5X on Amazon, Swiggy, Uber. 1X elsewhere. Fee waived on 40k spend. Best entry-level Amex.",Amex,"10X MR points on Flipkart. 5X on Amazon, Swiggy, Uber. 1X elsewhere. Fee waived on 40k spend. Best entry-level Amex.",495.0,495.0,4.5,40000.0,,,2.0,200.0,500.0,0.0,0.0,0,dining,1,0,0,1,0,0,1,0,0,3,500.0,0.5,212000.0,3600.0,0.0,216100.0,5000.0,0.54025,0.0,3,0.0022906062008329476,-0.3316925745047017,-0.32485853826543204,-0.29212317314109465,0.2847847634464604,-0.5926273045928272,0.15030100992161494,0.15897670472636544,-0.3720548692358601,-0.4674379541314951,2.7440074402990704,0.1503010099216149,-0.3720548692358601,-0.09981817925492659,0.5998851097102851,3,3,Mid_Tier
American Express Gold Card,Amex,4500,0,5.0,8.0,3.5,6.0,0.5,0,5000,Taj Marriott Hilton,5000 MR bonus points on 4 transactions/month. Taj InnerCircle Gold membership. 8 airport lounge visits. Milestone rewards at 6L spend.,Amex,5000 MR bonus points on 4 transactions/month. Taj InnerCircle Gold membership. 8 airport lounge visits. Milestone rewards at 6L spend.,4500.0,0.0,6.0,0.0,,,5.0,500.0,5000.0,8.0,0.0,0,general,0,0,0,0,0,0,0,0,0,0,5000.0,2.5,1000000.0,11200.0,4500.0,1011700.0,25000.0,2.52925,8.0,0,0.004447958881091232,0.15341142272757113,-0.3847591583654301,-0.15310343600085366,1.4211430815832145,0.2684551037899132,2.5847667335657447,2.4493213701661345,0.29822565373041926,-0.45696516726207087,-0.49794729611604754,2.5847667335657447,0.29822565373041926,-0.09980357185005598,0.5998851097102851,0,1,Entry_Level
Kotak 811 Dream Different Credit Card,Kotak,0,0,1.0,0.0,3.5,1.5,0.25,0,0,,Lifetime free card. 1% cashback on online spends. No minimum income requirement. Best for beginners with zero credit history.,Kotak,Lifetime free card. 1% cashback on online spends. No minimum income requirement. Best for beginners with zero credit history.,0.0,0.0,1.5,0.0,1.0,100.0,0.01,1.0,1.0,0.0,0.0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,1.0,0.0025,1037.5,0.0,0.0,1038.5,25.0,0.00259625,0.0,0,0.0,-0.39164924831992637,-0.3847591583654301,-0.5701626474215766,-0.46899958758425303,-0.5926273045928272,-0.45527233883486246,-0.45419186949043316,-0.5532408102739602,-0.4674379541314951,-0.49794729611604754,-0.4552723388348624,-0.5532408102739603,-0.09983368891752412,0.5998851097102851,0,1,Entry_Level
Kotak Royale Signature Credit Card,Kotak,999,999,2.0,8.0,3.5,4.0,0.25,150000,0,Taj Hotels EazyDiner,2 reward points per Rs.100. 8 airport lounge visits per year. Dining privileges. Taj InnerCircle membership. Good mid-tier card.,Kotak,2 reward points per Rs.100. 8 airport lounge visits per year. Dining privileges. Taj InnerCircle membership. Good mid-tier card.,999.0,999.0,4.0,150000.0,2.0,100.0,0.02,200.0,0.0,8.0,0.0,0,dining,0,0,0,0,0,0,0,0,1,1,0.0,0.005,2120.0,12400.0,0.0,14520.0,50.0,0.0363,8.0,1,0.06880165289256199,-0.27064577934738193,-0.2638688159817977,-0.338463085521175,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.45104555210421676,-0.5418828579482062,-0.45696516726207087,0.5827042826889919,-0.4522292566803072,-0.5418828579482063,-0.09936783388660342,0.5998851097102851,0,1,Entry_Level
Kotak Zen Signature Credit Card,Kotak,1999,1999,2.0,8.0,3.5,5.0,0.25,200000,1000,Travel Dining,2 reward points per Rs.100 on regular spend. 10X on travel categories. 8 lounge visits. Annual fee waiver on 2L spend.,Kotak,2 reward points per Rs.100 on regular spend. 10X on travel categories. 8 lounge visits. Annual fee waiver on 2L spend.,1999.0,1999.0,5.0,200000.0,2.0,100.0,0.02,200.0,1000.0,8.0,0.0,0,travel,0,0,0,0,0,0,0,0,0,0,1000.0,0.005,2175.0,11200.0,0.0,14375.0,50.0,0.0359375,8.0,0,0.1390608695652174,-0.14952118578127138,-0.14285746224442789,-0.24578326076101434,-0.46521172652379716,-0.5926273045928272,-0.4522292566803073,-0.4508856930222381,-0.5420050181742371,-0.45696516726207087,-0.49794729611604754,-0.4522292566803072,-0.5420050181742372,-0.09889210971168257,0.5998851097102851,0,1,Entry_Level
