Card_Name,Bank_Name,Annual_Fee,Joining_Fee,Reward_Rate,Lounge_Access,Forex_Markup,Minimum_Income_LPA,Reward_Value_Per_Point_INR,Spend_Based_Fee_Waiver,Milestone_Rewards,Third_Party_Tieups,Reward_Description
IndusInd Bank Platinum Aura Edge Credit Card,IndusInd,1499,1499,1.5,4,3.5,4.0,0.4,150000,0,Travel Dining Lifestyle,Choose your own rewards category. 1.5% rewards across all spends. 4 lounge visits. Dining and movie perks.
IndusInd Bank Legend Credit Card,IndusInd,3999,3999,2.0,8,2.5,8.0,0.5,400000,4000,Oberoi Marriott EazyDiner,2 reward points per Rs.100. 8 airport lounge visits. Luxury hotel dining offers. Golf benefits. Travel insurance.
YES Bank Marquee Credit Card,YESBank,9999,9999,24.0,2000,1.5,20.0,0.25,1000000,20000,Amazon Swiggy Zomato BookMyShow,24 YES Reward Points per Rs.100 on select categories. Unlimited lounge access. Low 1.5% forex. Best rewards rate in India.
YES Bank Premia Credit Card,YESBank,2999,2999,12.0,8,2.5,8.0,0.25,400000,5000,Amazon Swiggy Zomato,"12 reward points per Rs.100 on Amazon, Swiggy, Zomato. 6 on other online. 8 airport lounge visits. Strong online rewards card."
YES Bank BYOC Credit Card,YESBank,0,0,1.0,0,3.5,1.5,0.25,0,0,,Build Your Own Credit (BYOC). Lifetime free. Secured against FD. Best for those building credit score from scratch.
RBL Bank Edition Credit Card,RBL,5000,5000,10.0,12,2.0,12.0,0.3,500000,5000,Postcard Hotels ITC Taj,10 reward points per Rs.100. 12 airport lounge visits. Complimentary hotel stays as milestones. Luxury travel benefits.
RBL Bank ShopRite Credit Card,RBL,0,0,5.0,0,3.5,2.0,0.25,0,0,Shopper Stop Grocery,5X reward points on grocery and movie purchases. 1X on all other eligible spends. Zero annual fee. Good for grocery shoppers.
RBL Bank Popcorn Credit Card,RBL,0,0,0.0,0,3.5,1.5,0.0,0,0,BookMyShow,Up to 10% off on BookMyShow tickets. 1 free movie ticket per month. Best zero-fee entertainment card for movie buffs.
HSBC Premier Credit Card,HSBC,0,0,4.0,2000,0.0,30.0,0.3,0,0,Marriott Priority Pass,Unlimited airport lounge access via Priority Pass. Zero forex charges. 4 reward points per Rs.100. Exclusive for HSBC Premier banking customers.
HSBC Visa Platinum Credit Card,HSBC,0,0,2.0,0,3.5,4.0,0.25,0,1000,Dining Travel,Lifetime free. 2 reward points per Rs.100. 3X on first 60 days. 5% cashback on first EMI transactions. Good no-fee starter card.
Federal Bank Signet Credit Card,FederalBank,0,0,3.0,4,3.5,3.0,0.25,0,0,Dining Travel,Lifetime free card. 3 reward points per Rs.100. 4 airport lounge visits/year. Best no-fee card with lounge access.
Federal Bank Celesta Credit Card,FederalBank,7500,7500,4.0,2000,2.0,15.0,0.5,800000,10000,Travel Lifestyle,4 reward points per Rs.100. Unlimited lounge access. Low forex. Premium lifestyle privileges. Milestone bonus on 5L and 8L spend.
AU Bank LIT Credit Card,AUBank,0,0,2.0,0,3.5,2.0,0.25,0,0,OTT Dining Travel,"Activate only the benefits you need. Choose from OTT subscriptions, lounge access, or fuel benefits. Pay only for activated features."
AU Bank Altura Plus Credit Card,AUBank,499,499,2.0,4,3.5,2.5,0.25,80000,500,Dining Grocery,2 reward points per Rs.100 on retail. 5X on grocery and dining. 4 lounge visits. Fuel surcharge waiver.
AU Bank Zenith Plus Credit Card,AUBank,4999,4999,4.0,8,1.99,10.0,0.5,400000,5000,Dining Travel Lifestyle,4 reward points per Rs.100. 8 lounge visits. Low forex. Dining and hotel discounts. Milestone bonus at 4L annual spend.
Bank of Baroda Prime Credit Card,BankOfBaroda,499,499,2.0,2,3.5,2.0,0.25,75000,0,Dining Grocery OTT,"2 reward points per Rs.100. 10X on dining, grocery, OTT. 2 airport lounge visits per year."
IDFC First Bank Credit Card,IDFCFirst,0,0,3.0,4,1.99,3.0,0.25,0,0,Travel Dining,Lifetime free with 4 lounge visits. 3X reward points. Low 1.99% forex markup. 10X on first 90 days. Best lifetime-free travel card.
IDFC First Bank Wealth Credit Card,IDFCFirst,0,0,6.0,2000,1.5,18.0,0.25,0,0,Travel Lifestyle Priority Pass,Lifetime free. 6X reward points on all categories. Unlimited airport lounge via Priority Pass. 1.5% low forex. Best premium no-fee card.
OneCard Credit Card,OneCard,0,0,5.0,0,1.0,3.0,1.0,0,0,All merchants 5X,5X reward coins on top 2 spend categories each month. Zero annual fee. Low 1% forex. Metal card. Best flexible rewards card.
Slice Credit Card,Slice,0,0,1.0,0,3.5,1.5,1.0,0,0,All merchants,1-2% cashback on all spends. Zero annual fee. Instant approval. Best for students and first-time credit card users.
HDFC Freedom Credit Card,HDFC,0,0,1.0,0,3.5,1.5,0.25,0,0,Dining Movies Grocery,"Lifetime free. 5X CashPoints on EMI, dining, grocery, movie spends. 1X on all others. Best zero-fee HDFC starter card."
HDFC Swiggy Credit Card,HDFC,500,500,10.0,0,3.5,2.5,1.0,200000,0,Swiggy Instamart Dineout,10% cashback on Swiggy orders and Instamart. 5% on online purchases. 1% on other spends. Waived on 2L annual spend.
HDFC IRCTC Credit Card,HDFC,500,500,5.0,0,3.5,2.0,0.25,100000,0,IRCTC,5% value back on IRCTC rail bookings. 1 reward point per Rs.100 on other spends. Best card for frequent train travellers.
HDFC Bharat Credit Card,HDFC,0,0,5.0,0,3.5,1.5,0.25,0,0,BPCL grocery,"5X CashPoints on BPCL fuel, grocery, movie and dining. Lifetime free. Designed for Bharat consumers with low income eligibility."
HDFC Business Regalia Credit Card,HDFC,2500,2500,4.0,12,2.0,10.0,0.5,300000,2500,Business travel hotel,4 reward points per Rs.150. 12 airport lounge visits. Designed for business owners. GST input tax credit on fees. Travel benefits.
SBI Prime Credit Card,SBI,2999,2999,10.0,8,3.5,6.0,0.25,300000,5000,Trident Bata Hush Puppies BookMyShow,"10 reward points per Rs.100 on dining, grocery, departmental stores, movies. 2X on all others. 8 lounge visits. Milestone bonus at 3L and 4L."
SBI Aurum Credit Card,SBI,9999,9999,8.0,2000,1.99,18.0,0.5,1000000,20000,Taj ITC Marriott Amazon Swiggy,Unlimited airport lounge access. 8X reward points on all spends. Complimentary golf. Concierge. Milestone vouchers at 10L spend. Super premium SBI card.
SBI Card PULSE,SBI,1999,1999,5.0,4,3.5,4.0,0.25,200000,0,Cult.fit Practo PharmEasy,"10 reward points on Cult.fit, Practo, Netmeds. 2X on other health and wellness spends. 4 lounge visits. Complimentary Practo Care subscription."
IRCTC SBI Platinum Credit Card,SBI,1499,500,10.0,0,3.5,2.0,0.25,0,0,IRCTC,10% value back on IRCTC bookings via points. 1 reward point per Rs.125. Fuel surcharge waiver. Best card for Indian Railways bookings.
Axis Bank Reserve Credit Card,Axis,50000,50000,15.0,2000,1.5,60.0,0.2,3500000,50000,Oberoi Taj Ritz Carlton AMEX,Unlimited global lounge access. 15 EDGE points per Rs.200. Priority Pass Prestige. Golf worldwide. Concierge 24x7. Ultra-premium invite-only card.
Axis Bank Privilege Credit Card,Axis,1500,1500,2.0,6,3.5,4.0,0.2,200000,0,MakeMyTrip Dining Lifestyle,"2 EDGE Reward points per Rs.100. 6 airport lounge visits. 10X on travel, utility, insurance. Fee waived at 2L annual spend."
Axis Bank Airtel Credit Card,Axis,500,500,25.0,4,3.5,2.5,1.0,200000,0,Airtel Swiggy Zomato,25% cashback on Airtel app recharges & bill payments. 10% on Swiggy & Zomato. 1% unlimited on all others. 4 lounge visits/year.
Axis Bank Atlas Credit Card,Axis,5000,5000,5.0,2000,2.0,12.0,0.2,750000,10000,MakeMyTrip Flight Hotels,5X EDGE Miles on travel spends. Unlimited airport lounge access. Miles redeemable for flights and hotels. Best Axis travel card.
ICICI Bank Emeralde Private Metal Credit Card,ICICI,12000,12000,6.0,2000,1.5,25.0,0.25,1500000,20000,Taj ITC Oberoi Priority Pass,Unlimited Priority Pass lounge access. 6 reward points per Rs.100. 1.5% forex. Golf privileges. Premium hotel & dining benefits. Metal card.
ICICI Bank Platinum Credit Card,ICICI,0,0,2.0,0,3.5,2.0,0.25,0,0,Dining,Lifetime free. 2 reward points per Rs.100. Fuel surcharge waiver up to Rs.100/month. Easy first card for salaried individuals.
ICICI Bank MakeMyTrip Signature Credit Card,ICICI,2000,2000,8.0,6,3.5,5.0,0.25,200000,0,MakeMyTrip,8% cashback on MakeMyTrip bookings. 4% on dining. 1.5% on other spends. 6 airport lounge visits. My Cash Points redeemable on MMT.
PNB RuPay Select Credit Card,PNB,499,499,2.0,4,3.5,2.0,0.25,50000,0,Dining Grocery,2 reward points per Rs.100. 4 domestic lounge visits. Fuel surcharge waiver. Accepted on RuPay network domestically. Good PSU bank card.
PNB Pride Rupay Select Credit Card,PNB,999,999,3.0,6,3.5,3.0,0.25,100000,0,Travel Dining,3 reward points per Rs.100. 6 airport lounge visits. 5X on travel and dining. Insurance benefits. Good government bank mid-tier card.
Canara Bank RuPay Platinum Credit Card,CanaraBank,500,500,1.0,2,3.5,2.0,0.25,50000,0,,1 reward point per Rs.100. 2 domestic airport lounge visits. Fuel surcharge waiver. Accepted at all RuPay merchants. PSU bank entry-level card.
Canara Bank Visa Gold Credit Card,CanaraBank,0,0,1.0,0,3.5,1.5,0.25,0,0,,Lifetime free Visa Gold card. 1 reward point per Rs.100. Basic entry-level card for Canara Bank account holders. Easy approval.
Union Bank of India Visa Classic Credit Card,UnionBank,250,250,1.0,0,3.5,1.5,0.25,25000,0,,1 reward point per Rs.100. Low annual fee. Insurance coverage. Good starter card for Union Bank existing customers.
Union Bank RuPay Credit Card,UnionBank,0,0,1.0,0,3.5,1.5,0.25,0,0,,Zero fee RuPay credit card. 1 reward point per Rs.100. UPI-linked credit card on RuPay network. Best for UPI credit card usage.
Bank of Baroda Eterna Credit Card,BankOfBaroda,2499,2499,5.0,8,2.0,6.0,0.25,250000,2500,Travel Dining Lifestyle,5 reward points per Rs.100. 8 airport lounge visits. Low 2% forex markup. Best premium card from Bank of Baroda.
Bank of Baroda Select Credit Card,BankOfBaroda,750,750,2.0,4,3.5,3.0,0.25,75000,0,Dining Grocery OTT,2 reward points per Rs.100. 4 airport lounge visits. 10X on select categories. Budget-friendly mid-tier PSU card.
IDBI Bank Royale Signature Credit Card,IDBI,1500,1500,2.0,4,3.5,4.0,0.25,150000,0,Dining Travel,2 reward points per Rs.100. 4 airport lounge visits. Golf privileges. Dining offers. Travel insurance. Good mid-tier PSU premium card.
IDBI Bank Euphoria World Credit Card,IDBI,500,500,2.0,2,3.5,2.5,0.25,50000,0,,2 reward points per Rs.100. 2 airport lounge visits per year. Fuel surcharge waiver. Easy eligibility for IDBI account holders.
Citi Rewards Credit Card,Citi,1000,1000,10.0,0,3.5,4.0,0.3,125000,0,Apparel stores Flipkart,"10 reward points per Rs.125 on apparel and departmental stores. 1X on all other categories. Points redeemable for flights, hotel, vouchers."
Citi Cashback Credit Card,Citi,500,500,5.0,0,3.5,2.5,1.0,0,0,Movies Telephone Utility,"5% cashback on movie tickets, telephone bills, utility payments. 0.5% on all other spends. Auto-credited monthly. No redemption hassle."
Citi PremierMiles Credit Card,Citi,3000,3000,10.0,12,3.5,8.0,0.4,300000,10000,Airlines Hotels MakeMyTrip,10 PremierMiles per Rs.100 on flights. 4X on all else. Miles never expire. Transfer to 10+ airline programmes. 12 lounge visits. Best Citi travel card.
Standard Chartered Ultimate Credit Card,StandardChartered,5000,5000,5.0,2000,0.0,12.0,0.3,750000,10000,Priority Pass Travel Lifestyle,5 reward points per Rs.150. Zero forex markup. Unlimited Priority Pass lounge access. Golf privileges. 5 complimentary lounge visits per quarter.
Standard Chartered Manhattan Cashback Card,StandardChartered,999,999,5.0,0,3.5,3.0,1.0,100000,0,Supermarkets Grocery,5% cashback at supermarkets. 3% on dining. 1% on all others. Maximum cashback Rs.500/month. Great grocery and dining cashback card.
IndusInd Bank Nexxt Credit Card,IndusInd,999,999,2.0,4,3.5,3.0,0.4,100000,0,All categories,"Interactive card with a button to switch between rewards, EMI, and cash on every transaction. 2 reward points per Rs.100. Unique fintech feature."
IndusInd EazyDiner Credit Card,IndusInd,1999,1999,5.0,4,3.5,5.0,0.4,200000,0,EazyDiner Dining,25% off at EazyDiner partner restaurants. 5 reward points on dining. EazyDiner Prime membership complimentary. Best dining-focused card.
Kotak PVR Platinum Credit Card,Kotak,999,999,2.0,0,3.5,3.0,0.25,100000,0,PVR Cinemas,"2 free PVR tickets every month on minimum Rs.10,000 spend. 2 reward points per Rs.100. Best for frequent movie goers. Fee waived at 1L spend."
Kotak League Platinum Credit Card,Kotak,0,0,4.0,0,3.5,2.0,0.25,0,0,All merchants,Lifetime free platinum card. 4X reward points on all online spends. 1X on offline. No joining or renewal charges. Great no-fee Kotak starter.
YES First Preferred Credit Card,YESBank,999,999,6.0,4,3.5,4.0,0.25,100000,0,Amazon Swiggy,"6 YES Reward Points per Rs.100 on Amazon, Swiggy. 3X on other online. 4 airport lounge visits. Good mid-tier YES Bank card."
YES Bank Wellness Plus Credit Card,YESBank,1499,1499,3.0,4,3.5,4.0,0.25,150000,0,Practo Cure.fit PharmEasy,"50% discount on health check-ups. 3X points on health, wellness, pharmacy. Complimentary health insurance add-ons. Best wellness card."
RBL Bank Titanium Delight Credit Card,RBL,1000,1000,5.0,0,3.5,3.0,0.25,100000,0,Grocery Movies Dining,5X reward points on grocery and movies on Tuesdays and Fridays. 1X on all others. Good for targeted high-frequency spenders.
RBL Bank Monthly Treats Credit Card,RBL,0,0,2.0,0,3.5,1.5,0.25,0,0,Grocery,Zero annual fee. 2X reward points on grocery. 1X on all others. Vouchers on monthly milestones. Good honest no-fee grocery card.
AU Bank Eminence Credit Card,AUBank,9999,9999,5.0,2000,1.75,25.0,0.5,1500000,15000,Taj Hotels Priority Pass Lifestyle,Unlimited lounge access via Priority Pass. 5 reward points per Rs.100. Low 1.75% forex. Concierge. Hotel privileges. Best AU Bank premium card.
IDFC First Millennia Credit Card,IDFCFirst,0,0,3.0,0,3.5,2.0,0.25,0,0,Dining Grocery Movies,"Lifetime free. 3X on online categories. 10X on first 90 days. Movie offers, dining discounts. Best starter card for young professionals."
IDFC First Select Credit Card,IDFCFirst,0,0,6.0,4,1.99,6.0,0.25,0,0,Travel Dining Lifestyle,Lifetime free. 6X reward points on all categories. 4 lounge visits. 1.99% forex. 10X on first 90 days. Best mid-premium no-fee card.
Bajaj Finserv RBL Bank SuperCard,BajajFinserv,499,499,2.0,0,3.5,2.0,0.25,50000,0,Bajaj EMI Network,"4-in-1 card with credit, EMI, personal loan and cash advance features. 2 reward points per Rs.100. Best for Bajaj Finserv EMI network users."
Paytm SBI Credit Card,SBI,499,499,3.0,0,3.5,2.0,1.0,100000,0,Paytm,3% cashback on Paytm app spends. 2% on Paytm Mall. 1% on all other online. Cashback credited as Paytm First Gold. Fee waived at 1L spend.
Paytm SBI Select Credit Card,SBI,1499,1499,5.0,4,3.5,4.0,1.0,200000,0,Paytm Movies Recharge,5% cashback on Paytm platform. 2% on other online. 1% offline. 4 lounge visits/year. Best for Paytm heavy users wanting airport lounge.
Fi Money Federal Bank Credit Card,FederalBank,0,0,2.0,0,1.0,2.5,1.0,0,0,Fi App,Lifetime free. 2% rewards on all spends. Low 1% forex on international transactions. App-first experience. No hidden charges. Best neobank credit card.
Scapia Federal Bank Credit Card,FederalBank,0,0,10.0,2000,0.0,3.0,1.0,0,0,Travel flights hotels,Zero annual fee. 10% Scapia coins on travel. Zero forex markup. Unlimited domestic lounge access. Best zero-fee travel card in India 2024.
Kreditbee Bank Credit Card,IDFCFirst,0,0,1.0,0,3.5,1.5,0.25,0,0,,Entry-level card for individuals with limited credit history. Zero annual fee. Secured or unsecured option. Best for building credit score.
Federal Bank Visa RuPay Credit Card,FederalBank,0,0,2.0,2,3.5,2.0,0.25,0,0,UPI,Lifetime free RuPay credit card. UPI-linked for seamless credit card on UPI payments. 2 lounge visits. 2 reward points per Rs.100.
